start date-time,end date-time,reason,duration,duration (seconds),monitor URL,monitor name
2026-04-12 16:40:06,,404 Not Found,,,https://13ab7810-1f93-43f7-b2ee-539b2ac1fb24-00-194zspgaodzhz.janeway.replit.dev/api/healthz,13ab7810-1f93-43f7-b2ee-539b2ac1fb24-00-194zspgaodzhz.janeway.replit.dev/api/healthz
2026-04-12 15:17:58,2026-04-12 16:24:02,404 Not Found,1h 6m 4s,3964,https://13ab7810-1f93-43f7-b2ee-539b2ac1fb24-00-194zspgaodzhz.janeway.replit.dev/api/healthz,13ab7810-1f93-43f7-b2ee-539b2ac1fb24-00-194zspgaodzhz.janeway.replit.dev/api/healthz
